,s0,s1,s2,s_g0,s_g1,s_g2,a,r,r_disco
206,206.0,14.497587315894009,3.9010914293028875,140.0,16.99358751043785,2.365080891540151,2.0,-0.05164369082166331,-0.3934022690874325
207,207.0,14.4976130715268,4.368799334548159,140.0,16.99358751043785,2.365080891540151,2.0,-0.06262880837383503,-0.6272443357970158
208,208.0,14.497618222653365,4.862340915597212,140.0,16.99358751043785,2.365080891540151,2.0,-0.06660735263057635,-0.5635397322285667
209,209.0,14.497619252878692,5.361049231807025,140.0,16.99358751043785,2.365080891540151,2.0,-0.06358329254995956,-0.48354454935411506
210,210.0,14.497619458923758,5.860790895048984,140.0,16.99358751043785,2.365080891540151,0.0,0.3172432530895477,-0.39176632236552944
211,211.0,14.897619500132777,5.960739227697376,140.0,16.99358751043785,2.365080891540151,3.0,0.09319219268228368,-0.6977790508795925
212,212.0,14.977619508374566,5.580728894227054,140.0,16.99358751043785,2.365080891540151,0.0,-0.0060824731457386205,-0.7843433989105475
213,213.0,14.977619508374566,5.580728894227054,140.0,16.99358751043785,2.365080891540151,2.0,-0.052159075908400354,-0.7613631087353293
214,214.0,14.977619508374566,5.980728894227054,140.0,16.99358751043785,2.365080891540151,1.0,-0.3106973202007197,-0.7484486356051402
215,215.0,14.577619508374575,6.060728894227047,140.0,16.99358751043785,2.365080891540151,3.0,-0.027248183633520807,-0.4236288269104485
216,216.0,14.497619508374584,5.676728894227046,140.0,16.99358751043785,2.365080891540151,2.0,-0.04868864189925707,-0.3860623499319117
217,217.0,14.481619508374585,5.9999288942270494,140.0,16.99358751043785,2.365080891540151,3.0,0.031656507039597555,-0.3272431887892471
